"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"U11. Tabs","","","0","0","2","0","0"
"Тесты Авторизации.","Тест авторизации.","","1","0","2","3","0"
"Тесты Авторизации.","Задание U3 тест авторизации с использованием DataProvider","","0","4","2","18","0"
"Тесты работоспособности элементов.","Тест существования и отображения элементов, их работоспособности.","","1","0","2","3","0"
"U10. Drag n Drop (IFrame)","","","0","0","1","0","0"
"U13. Basic Auth","","","0","0","1","0","0"
"Тесты работоспособности элементов.","Тест работоспособности переходов на другие страницы.","","0","0","1","0","0"
"Тесты отображения элементов страницы.","Тест существования и отображения элементов.","","0","0","3","0","0"
"Тесты работоспособности элементов.","Тест с использованием JavaScriptExecutor.","","0","0","1","0","0"
